strikePrice,expiryDate,underlying,identifier,pe_openInterest,pe_changeinOpenInterest,pe_pchangeinOpenInterest,pe_totalTradedVolume,pe_impliedVolatility,pe_lastPrice,pe_change,pe_pChange,pe_totalBuyQuantity,pe_totalSellQuantity,pe_bidQty,pe_bidprice,pe_askQty,pe_askPrice,pe_underlyingValue,ce_openInterest,ce_changeinOpenInterest,ce_pchangeinOpenInterest,ce_totalTradedVolume,ce_impliedVolatility,ce_lastPrice,ce_change,ce_pChange,ce_totalBuyQuantity,ce_totalSellQuantity,ce_bidQty,ce_bidprice,ce_askQty,ce_askPrice,ce_underlyingValue
22950,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE22950.00,6609,4915,290.1416765053129,94091,27.71,15,-11.95,-44.34137291280148,41550,7575,1875,15,300,15.4,24346.7,29,0,0,13,0,1367.45,-83.04999999999995,-5.725611857980003,1725,1650,75,1354.95,75,1403.95,24346.7
23000,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23000.00,57016,5997,11.754444422666065,737537,27.36,16.35,-12.849999999999998,-44.006849315068486,257475,188625,3300,16,1725,16.35,24346.7,3600,43,1.208883890919314,968,0,1330,-21.15000000000009,-1.5653332346519697,9900,3825,600,1329.95,225,1341.85,24346.7
23050,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23050.00,2656,1335,101.05980317940954,107068,26.8,17.15,-13.75,-44.49838187702266,41325,16350,600,16.7,375,17.3,24346.7,68,0,0,0,0,1268.55,0.14999999999986358,0.011825922421938155,1650,1650,150,1227.8,150,1336.15,24346.7
23100,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23100.00,8709,-1413,-13.959691760521636,201642,26.04,17.4,-16.75,-49.048316251830165,58950,29175,1125,17.45,1050,18.4,24346.7,1320,-24,-1.7857142857142858,272,0,1180.3,-102.85000000000014,-8.015430775825127,16200,3975,150,1230.25,150,1248.6,24346.7
23150,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23150.00,2973,2059,225.27352297592998,123621,25.65,18.9,-17.4,-47.93388429752066,28800,17100,225,18.95,1125,19.55,24346.7,53,-2,-3.6363636363636362,15,0,1195.75,6.0499999999999545,0.5085315625787975,1800,1800,150,1132,150,1227.65,24346.7
23200,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23200.00,17734,5024,39.5279307631786,295573,25.19,20.7,-17.45,-45.74049803407602,54150,46050,75,20.3,600,20.7,24346.7,648,-101,-13.484646194926569,311,0,1122,-68.54999999999995,-5.7578430137331456,2625,2250,600,1121.95,600,1190.65,24346.7
23250,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23250.00,2934,1379,88.68167202572347,118696,24.65,21.5,-19.950000000000003,-48.13027744270205,27900,12225,600,21.25,75,22,24346.7,53,-25,-32.05128205128205,104,0,1091.35,11.949999999999818,1.1070965351120823,2025,2025,375,1073.05,375,1130.35,24346.7
23300,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23300.00,16711,2173,14.947035355619755,288769,24.15,23,-21.6,-48.4304932735426,105975,65100,675,23,675,23.5,24346.7,2906,-88,-2.9392117568470275,443,0,1044.85,-69.90000000000009,-6.270464229647911,3450,4200,300,1037.15,150,1050.45,24346.7
23350,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23350.00,4356,1036,31.204819277108435,146401,23.7,24.95,-24.000000000000004,-49.02962206332993,29250,21750,675,24.55,600,25,24346.7,84,-8,-8.695652173913043,87,0,981.15,-0.9500000000000455,-0.09673149373791319,2475,2250,600,970.3,75,1008.4,24346.7
23400,08-May-2025,NIFTY,OPTIDXNIFTY08-05-2025PE23400.00,14594,1514,11.574923547400612,330563,23.17,26.55,-24.099999999999998,-47.581441263573545,44775,56625,675,26,225,26.65,24346.7,589,-173,-22.703412073490814,754,0,929,-34.39999999999998,-3.570687149678221,3375,3000,75,939.1,150,955.8,24346.7
